"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"ABHD17C" 0 0 4 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
"ABHD18" 3 4 3 3 2 3 2 7 7 1 1 8 3 1 9 1 4 1
"ABHD2" 5 8 15 15 7 10 5 6 9 10 2 6 23 14 38 30 38 22
"ABHD3" 1 2 1 5 3 1 0 0 0 0 0 2 0 0 3 4 3 1
"ABHD4" 0 4 3 2 1 4 2 0 2 0 1 6 2 1 0 0 4 2
"ABHD6" 2 4 4 3 2 5 2 1 2 0 2 0 1 1 4 0 3 4
"ABHD8" 40 45 65 70 56 59 36 37 43 54 40 45 24 43 60 44 45 37
"ABI1" 49 90 58 74 94 95 58 44 46 32 44 56 69 55 66 98 119 107
"ABI2" 190 280 204 141 163 151 305 352 322 264 293 330 95 82 128 91 108 102
"ABI3" 7 5 9 2 4 1 13 11 13 7 12 18 9 4 11 4 1 3
"ABI3BP" 4 10 6 10 15 17 10 5 10 9 7 7 8 5 12 8 9 6
"ABL1" 8 10 12 59 56 44 1 6 6 9 8 9 6 9 5 7 12 11
"ABL2" 159 233 204 133 181 180 312 281 318 275 327 313 112 116 164 223 230 230
"ABLIM1" 1 2 10 4 3 3 2 1 1 0 2 2 5 6 12 8 8 8
"ABLIM2" 0 0 1 0 0 0 0 0 1 0 0 0 4 1 6 4 3 3
"ABLIM3" 0 0 2 2 2 2 0 0 0 1 1 1 0 0 1 1 1 1
"ABR" 3 11 9 10 10 5 15 5 6 3 3 6 4 6 5 3 6 3
"ABRA" 11 19 9 21 14 13 15 18 17 13 19 25 12 18 10 10 11 10
"ABRACL" 0 3 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1
"ABTB1" 3 2 0 6 13 1 0 0 0 0 0 0 1 0 0 0 2 4
"ABTB2" 18 29 25 34 29 30 39 28 37 21 32 31 12 6 23 10 9 23
"ACAA1" 36 42 38 440 461 571 4 1 2 4 3 5 8 11 18 19 11 28
"ACAA2" 2 4 5 2 1 2 4 0 0 0 4 2 2 4 6 4 0 3
"ACACA" 47 64 39 33 44 33 55 65 56 44 75 75 43 36 53 28 33 50
"ACACB" 0 0 2 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACAD11" 7 10 11 15 18 8 5 11 12 11 5 6 9 8 16 5 4 4
"ACAD8" 18 27 27 11 15 19 36 38 41 29 29 54 45 44 53 11 20 28
"ACAD9" 39 53 36 13 14 18 51 35 58 21 40 41 92 109 89 18 25 32
"ACADL" 1 6 4 0 7 9 6 3 3 2 1 1 3 2 2 2 3 0
"ACADS" 15 20 14 5 11 14 16 12 12 19 24 18 13 14 12 13 3 8
"ACADSB" 0 0 2 1 2 1 1 0 1 0 2 1 1 1 2 1 0 0
"ACAN" 0 1 2 6 4 7 0 1 1 0 0 0 0 0 0 0 2 1
"ACAP2" 1 3 8 1 10 7 5 1 6 0 6 8 2 1 1 6 3 6
"ACAP3" 3 12 11 18 19 15 6 10 6 3 2 4 10 12 13 10 7 8
"ACAT1" 4 9 7 3 3 8 2 1 8 7 10 6 1 6 8 5 3 5
"ACAT2" 1008 1522 1277 813 860 964 827 688 860 656 703 815 1042 981 1209 1456 1435 1383
"ACBD3" 2 2 2 10 3 6 4 1 0 0 1 6 7 8 1 6 5 1
"ACBD4" 18 12 23 24 35 27 19 18 25 19 29 24 18 10 18 11 11 22
"ACBD5" 8 3 4 5 9 7 4 10 7 6 3 3 3 5 5 4 0 4
"ACBD6" 0 3 1 4 0 1 2 0 0 0 2 1 1 2 3 2 1 0
"ACBD7" 0 0 2 0 1 1 0 0 1 1 0 0 0 0 0 1 2 0
"ACCS" 0 0 5 7 1 3 1 0 0 0 2 0 0 0 1 0 2 1
"ACCSL" 9 18 5 42 38 45 6 18 13 7 13 11 5 4 10 10 7 9
"ACD" 2 2 4 8 6 4 5 0 2 2 4 3 3 1 0 1 2 6
"ACE" 1 0 4 4 3 3 0 0 0 0 0 2 0 0 0 0 0 0
"ACE2" 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"ACER1" 0 4 2 2 3 3 2 2 0 0 6 3 2 2 4 11 4 3
"ACER2" 1 2 0 1 6 5 0 0 0 0 2 0 3 3 5 3 1 4
"ACER3" 5 1 2 3 0 3 3 4 3 3 8 2 2 5 6 4 1 1
"ACHE" 0 1 4 3 6 7 0 0 0 1 0 1 0 0 0 3 0 0
"ACIN1" 8 17 10 23 32 26 18 11 22 24 32 28 23 24 27 15 13 25
"ACKR1" 35 38 58 12 24 21 14 12 14 18 15 12 45 36 56 25 38 18
"ACKR2" 3 3 1 5 6 6 0 1 1 0 1 0 1 0 3 0 2 1
"ACKR4" 11 17 17 6 5 6 16 24 9 19 14 10 17 18 21 12 9 15
"ACLY" 96 162 158 62 66 77 35 77 72 41 52 59 109 121 140 44 62 58
"ACMSD" 84 111 111 34 54 33 59 52 56 57 62 74 70 88 94 67 47 77
"ACO1" 0 0 0 1 2 1 0 2 0 2 0 2 2 0 1 2 2 1
"ACO2" 22 21 16 20 20 13 24 19 40 15 20 24 18 15 23 31 30 33
"ACOD1" 2 5 6 6 3 3 12 9 14 19 15 10 17 10 18 0 4 2
"ACOD1L" 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACOT11" 21 17 38 40 39 27 10 17 14 15 24 34 28 38 38 31 30 33
"ACOT12" 1 0 0 4 3 3 1 5 1 0 0 1 0 1 1 1 1 0
"ACOT6" 231 368 251 116 126 114 238 197 251 237 221 269 336 407 288 219 234 224
"ACOT7" 11 8 14 21 30 23 12 8 7 7 22 19 16 20 14 20 23 30
"ACOT8" 11 15 14 22 25 24 9 7 16 4 10 16 10 7 11 11 11 9
"ACOT9" 8 9 6 62 54 47 7 3 8 3 3 8 3 6 9 8 10 7
"ACOX1" 0 0 0 1 0 0 0 0 0 0 4 0 0 0 1 1 1 1
"ACOX2" 15 22 18 21 25 19 9 14 14 14 15 14 13 11 17 25 10 21
"ACOX3" 2 0 1 0 0 0 0 0 0 2 0 0 2 0 4 0 1 0
"ACP1" 4 3 2 2 6 2 0 0 1 1 0 0 4 2 2 2 2 1
