"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"LOC121107742" 1409 2717 2164 963 1155 1194 2697 1331 2401 2861 3081 3056 3733 4324 3166 2081 2237 2206
"LOC121107743" 489 695 573 452 528 495 489 305 540 543 560 637 623 733 603 462 506 522
"LOC121107744" 1 0 0 5 3 1 4 3 1 2 2 4 0 0 0 0 0 0
"LOC121107745" 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"LOC121107746" 0 0 1 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0
"LOC121107747" 48 87 102 23 28 25 59 42 47 69 59 61 98 143 78 44 53 41
"LOC121107748" 90 137 134 10 14 20 39 52 50 40 45 40 43 41 76 35 38 37
"LOC121107749" 3 5 8 12 7 1 3 7 9 5 3 4 3 7 5 1 2 2
"LOC121107750" 1 1 0 0 0 3 0 2 0 0 0 1 0 3 0 4 0 0
"LOC121107751" 0 0 0 1 0 0 2 7 6 5 2 7 0 1 2 0 1 0
"LOC121107752" 973 1243 1044 1124 1048 1245 802 653 808 724 710 848 891 875 990 1318 1243 1287
"LOC121107753" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107754" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107755" 0 0 1 0 0 0 0 2 2 1 0 2 0 0 0 0 0 0
"LOC121107756" 1 0 0 0 0 0 2 4 0 2 0 2 0 0 0 0 0 0
"LOC121107757" 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"LOC121107758" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107759" 3 6 5 3 2 4 5 1 4 3 1 1 2 2 8 3 5 2
"LOC121107760" 100 180 185 50 58 59 193 103 190 226 254 270 134 173 137 57 64 69
"LOC121107761" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107762" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107763" 1331 2897 1916 1729 1820 2014 1961 1563 1799 1717 1895 2093 1986 2239 2307 2937 2869 3021
"LOC121107764" 0 12 2 3 8 5 4 4 4 1 1 2 3 3 1 3 2 3
"LOC121107766" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107767" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107768" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107769" 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0
"LOC121107770" 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107771" 0 1 0 1 3 0 0 1 2 0 0 2 0 0 0 0 0 0
"LOC121107772" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"LOC121107773" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107774" 2 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0
"LOC121107775" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121107776" 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107777" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"LOC121107778" 8 8 12 9 10 3 4 2 11 3 6 6 2 7 7 9 4 1
"LOC121107779" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107780" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121107781" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107782" 0 1 4 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107783" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107784" 1 3 3 0 1 3 0 0 2 3 1 0 1 0 0 1 1 2
"LOC121107785" 41 51 53 73 73 80 41 24 17 27 38 43 39 41 37 46 49 62
"LOC121107786" 6 11 11 10 10 7 10 5 9 2 6 8 7 4 4 2 3 2
"LOC121107787" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107788" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107789" 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0
"LOC121107790" 160 303 186 102 122 156 263 148 254 223 227 260 253 275 229 161 134 150
"LOC121107791" 2 4 3 2 2 1 0 1 3 1 0 0 1 2 3 2 5 2
"LOC121107792" 1 2 0 3 2 0 1 3 0 1 1 3 2 1 5 2 1 0
"LOC121107793" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107795" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107796" 0 0 2 0 4 3 1 0 0 2 2 1 1 2 1 1 0 1
"LOC121107797" 80 96 85 40 46 48 93 44 93 116 115 126 103 105 125 75 76 94
"LOC121107798" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107800" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107802" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107803" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"LOC121107804" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107805" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107806" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107811" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107813" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107814" 5 7 11 7 5 4 2 1 3 1 1 2 1 0 1 0 0 1
"LOC121107815" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107817" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107818" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"LOC121107820" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107821" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC121107822" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107823" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107824" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107826" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107827" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107828" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107829" 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"LOC121107830" 0 0 3 0 0 0 0 0 0 0 0 2 0 2 1 3 0 2
"LOC121107831" 22 31 28 21 31 21 7 11 9 10 22 24 25 19 19 13 28 18
"LOC121107832" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107833" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107834" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107835" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121107836" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107837" 1 1 2 1 4 0 1 0 1 0 1 0 1 1 0 2 0 0
"LOC121107839" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107840" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107841" 3 4 3 1 2 4 13 7 8 17 17 18 7 2 4 4 11 3
"LOC121107842" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107843" 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107844" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107845" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107846" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107847" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107848" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107849" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107850" 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121107851" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107852" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107853" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107854" 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107855" 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121107856" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107857" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107858" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107859" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121107860" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107861" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107863" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107864" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107865" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"LOC121107866" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107868" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"LOC121107869" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107871" 0 1 2 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107872" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107873" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107874" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107875" 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107876" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107877" 1 2 0 8 2 1 4 1 1 0 0 0 2 2 3 1 4 6
"LOC121107878" 1229 1388 1352 541 483 530 1057 925 1007 885 936 1037 1271 1397 1549 1124 1220 1308
"LOC121107879" 37 76 40 24 18 25 70 92 48 44 47 74 58 58 67 49 42 46
"LOC121107880" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107882" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107883" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107884" 0 0 1 2 0 0 0 2 0 0 0 0 0 0 0 0 1 0
"LOC121107885" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107886" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"LOC121107888" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"LOC121107890" 0 0 2 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107891" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107892" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107893" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107894" 0 0 2 1 2 0 0 0 0 0 3 0 0 0 0 0 0 0
"LOC121107896" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107897" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107898" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107899" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107900" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107901" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107902" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107903" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107904" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107906" 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0
"LOC121107907" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107908" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107909" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107910" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107911" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107912" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107913" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107915" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107917" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"LOC121107918" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107919" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107920" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0
"LOC121107921" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107922" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107923" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107924" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107925" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107926" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107927" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107928" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107929" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107930" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"LOC121107931" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC121107932" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107933" 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107934" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107935" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107936" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107937" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107938" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107939" 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107940" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107941" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107942" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107943" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107944" 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107945" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107946" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121107947" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107948" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107949" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107950" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107952" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107953" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107954" 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107956" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107957" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107958" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107959" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107961" 0 4 0 2 1 1 1 0 3 2 1 1 1 4 0 0 2 0
"LOC121107962" 1 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107963" 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"LOC121107964" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107965" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107966" 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107967" 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"LOC121107968" 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107970" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107971" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107972" 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107973" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107974" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107975" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107976" 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107978" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107979" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107980" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107982" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107983" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107984" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107985" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107986" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107987" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107988" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107989" 0 0 1 1 4 0 0 0 0 0 0 0 0 0 0 1 0 0
"LOC121107990" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107991" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107992" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107993" 0 0 2 2 3 0 0 0 0 0 0 0 0 0 0 0 1 2
"LOC121107994" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"LOC121107995" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"LOC121107996" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107997" 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107998" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121107999" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108000" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108002" 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108003" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108005" 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108006" 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108007" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108008" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108011" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108012" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108013" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108014" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108015" 0 2 1 2 0 1 1 0 0 1 0 0 0 1 1 0 0 0
"LOC121108016" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108017" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108018" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108019" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"LOC121108020" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108021" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108022" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108025" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108026" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108027" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108028" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108029" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108030" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108031" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108032" 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108033" 0 0 1 0 0 3 0 0 0 0 0 0 0 0 1 0 0 1
"LOC121108034" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108035" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108037" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108038" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108039" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108040" 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108041" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108042" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108043" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108044" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108045" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108046" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108047" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108048" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108049" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108050" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108051" 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108053" 508 1029 614 153 142 171 628 720 573 584 579 615 1016 962 1152 912 836 1094
"LOC121108054" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108055" 0 0 1 0 0 0 0 0 0 0 0 0 0 2 4 0 1 1
"LOC121108056" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108057" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108058" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108059" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108060" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108061" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108062" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108063" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108064" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108065" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108066" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108067" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108068" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108069" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108070" 0 0 1 6 1 3 1 0 0 0 0 0 0 0 0 4 1 2
"LOC121108071" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108072" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108073" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108075" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108076" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108077" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108078" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC121108080" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"LOC121108081" 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
